ACCIDENT_NO,NODE_ID,ROAD_ROUTE_1,ROAD_NAME,ROAD_TYPE,ROAD_NAME_INT,ROAD_TYPE_INT,DISTANCE_LOCATION,DIRECTION_LOCATION
T20180002870,35706,5763,ASCOT VALE,ROAD,MT ALEXANDER,ROAD,,S
T20170003220,42513,2400,SPRINGVALE,ROAD,HEATHERTON,ROAD,,N
T20180016646,39063,5874,BURKE,ROAD,COTHAM,ROAD,,S
T20220005668,35376,2080,HODDLE STREET -PUNT,ROAD,WELLINGTON,PARADE,,S
T20150024890,251622,2460,PRINCES,HIGHWAY,WHITESIDE,ROAD,,E
T20140006628,40888,5433,WANTIRNA,ROAD,BORONIA,ROAD,16,S
T20150007846,282000,2750,BURWOOD,HIGHWAY,BURWOOD-EASTLINK OUT ON,RAMP,,E
T20190001820,44230,5515,EPPING,ROAD,HARVEST HOME,ROAD,,S
T20140017453,25939,2280,AIRPORT,DRIVE,SHARPS,ROAD,,S
T20170005046,29821,5520,BALLARAT,ROAD,CHURCHILL,AVENUE,15,NW
T20220006973,277152,9999,KINGS,WAY,YORK,STREET,,NE
T20130020713,52605,2520,DIMBOOLA,ROAD,WAWUNNA,ROAD,,SE
T20210005511,29636,5296,GLEN EIRA,ROAD,HOTHAM,STREET,,W
T20120020297,44939,5502,MAIN ROAD E-MAIN,ROAD,ST ALBANS,ROAD,,E
T20230026722,638,5422,BAYSWATER ROAD -SCORESBY,ROAD,MOUNTAIN,HIGHWAY,,S
T20150019538,277792,9999,HAMMOND,ROAD,DANDENONG,BYPASS,24,S
T20190003774,304636,9999,AITKEN,BOULEVARD,JAMES MIRAMS,DRIVE,,N
T20120003214,70726,2050,CHELTENHAM ROAD -LOWER DANDENONG,ROAD,SPRINGVALE,ROAD,,W
T20240003969,43631,2510,PRINCES,HIGHWAY,NARRE WARREN NORTH,ROAD,,NW
T20230013296,783465,2520,WESTERN,FREEWAY,PAYNES,ROAD,682,NW
T20210002537,687726,5443,HEATHS,ROAD,HEATHS,ROAD,9,E
T20230000780,15294,5515,EPPING-KILMORE,ROAD,EPPING-KILMORE,ROAD,,S
T20120009098,252907,9999,MERRICKS,ROAD,STANLEYS,ROAD,271,NW
T20200016620,35607,5843,WARRIGAL,ROAD,NAPLES,ROAD,,S
T20120010907,43940,2230,DANDENONG-HASTINGS,ROAD,ROBINSONS,ROAD,,N
T20140026459,280069,5327,HOWE,STREET,ALBERT,STREET,,S
T20170022441,8307,-1,JUNIPER,,,,,NK
T20130007416,260119,9999,GRUYERE,ROAD,COOPERS,LANE,374,N
T20120019665,254866,9999,MILTON,STREET,LILIAN,STREET,17,E
T20180005432,328399,2190,SURF COAST,HIGHWAY,FEEHANS,ROAD,,S
T20240013049,804262,5107,MT DUNEED,ROAD,WILLIAMS,ROAD,488,E
T20130026195,266270,9999,COOPER,STREET,ERNEST,STREET,45,W
